;0;1;2;3;4;5;6;7;8
0;0.0;9.102025878355109;5.436485070061434;1.7345651130123567;2.4091433006048835;4.006799362014631;4.141212249915977;5.40489106051952;2.853874809126592
1;0.0;10.024115793791289;6.606331083348522;2.1527763159471442;2.986311464793848;4.903175184837496;5.074207401105414;6.252318449301372;3.5431482378794485
2;0.0;8.340214863807251;4.361391247500792;1.4325844640487908;1.7227774615823412;3.130617643652883;3.2783575790068844;4.7830438852187225;2.6245158552543844
3;0.0;8.347161235668823;5.3728424525921366;1.6944639079234347;2.2593900507918385;3.8600055278782626;3.9115399135577813;5.077500230539972;2.8794241779208662
4;0.0;7.176733484807572;4.7548763626042305;1.1592028078658623;1.623106618169009;3.1158977581273812;2.9248830913926342;4.036016431249399;1.8988953817396979
5;0.0;5.518809445055274;3.6443094177389854;0.7272268191209702;1.0605715806757867;2.2357030989661784;1.9695941579136664;2.904457588039362;1.1472385630068562
6;0.0;9.64227033576721;5.477295373955456;1.7526520411105269;2.4070705401744354;3.9946612822526397;4.061043294433352;5.584316430276276;2.9149251552909767
7;0.0;6.774527831979521;4.520188724258605;1.033588647791899;1.4266899087595697;2.892336445166389;2.689841976123816;3.755457315417598;1.710621978412241
8;0.0;9.140529436184815;5.091019455300021;1.6978014612209946;2.191958904318995;3.8091809203666798;4.11429134034495;5.4431988708015595;2.960687859824966
9;0.0;5.228421862082528;3.3621240384424294;0.5736250547799396;0.7955332204284713;1.9059882746903614;1.5255948983744276;2.5929434383598196;0.9471600873132071
10;0.0;8.550527611012638;4.883629057720563;1.4550229488492912;1.9382978677408143;3.4060058541559015;3.3586523710427474;4.835746832086192;2.4785465142332157
11;0.0;6.831425493912824;5.510430697298575;1.289100813344041;1.9292197446268937;3.5511748328169563;3.1627055594280615;4.021133809624254;1.9825741142016233
12;0.0;11.08562836393804;7.077142968497009;2.526608971022077;3.6030513392239607;5.472443749774401;5.69792042871758;6.993040828109155;4.062781340788149
13;0.0;4.9038427216543905;2.321346425963554;0.19734615527564878;0.21170146518300015;1.2138750174793578;1.0813031908947268;2.1544729360763597;0.3917124932983401
14;0.0;7.479522826218699;4.338498467243915;1.151199364173609;1.475392919611272;2.8585794755641696;2.724927370326669;4.10943132455259;2.0187143553511238
15;0.0;8.2583143872747;4.783643352823394;1.4533618232381162;1.8837270825621288;3.339214394022674;3.3153213052164805;4.735452952614393;2.525750410863275
16;0.0;8.124619922381012;4.747701981816154;1.3608670711939497;1.805636037154612;3.280528204377099;3.2506088377340294;4.60449585147292;2.3259082509825157
17;0.0;9.534700064211995;5.395418760410102;1.7189594802409482;2.2841167784441496;3.8982055303814933;3.9752611185236244;5.526508667749873;2.935334582815871
18;0.0;7.566804180062746;4.7971446115285135;1.369096198250356;1.894561035142627;3.3326131291509395;3.2712791018354213;4.39862684308033;2.2602682396128584
19;0.0;6.1777682495800725;3.959383608876582;0.861937923061086;1.0731830337385329;2.4162917811404117;2.174307718432282;3.3295134359935057;1.545619223381372
20;0.0;6.933650614863124;4.399725570253489;1.0724356447861971;1.5433882743571992;2.9876787787404915;2.9862567431367646;3.9077964271705974;1.7113919563608173
21;0.0;8.013597113183947;5.419365729155043;1.5989535271769029;2.260336116393984;3.820220670241709;3.743461058659318;4.814507669033772;2.589366428484191
22;0.0;7.914104264431155;4.578365255713571;1.256872537889134;1.7064704427877906;3.1188305818949056;3.0343203626408126;4.390742258931781;2.10999296663279
23;0.0;8.658987469227709;5.350634009757512;1.707093363094638;2.384924734056399;3.9131716133709618;3.969944672542197;5.176774306439143;2.7940488146332796
24;0.0;9.054323829125867;5.7640748307153835;1.7213635947903418;2.4215528767795336;4.09049358758599;4.042284651203639;5.338501443261398;2.8013830441701835
25;0.0;7.54522726481322;5.67428289924005;1.656707649544398;2.424653189175901;3.9430946675781025;3.689931260572292;4.6399572579398916;2.5984249823892167
26;0.0;8.161765521796331;5.641399918192704;1.6259858985758089;2.255392151073192;3.930672627767112;3.850971269845658;4.930079926641283;2.6785765131714663
27;0.0;6.955273625865233;3.0719993986394116;0.8000631823810356;0.9485465606675471;2.013096628404846;1.9960002738757352;3.5130301180992807;1.4819156171058194
28;0.0;9.19579856905047;5.764861355457157;1.8444205527469104;2.5523797959457117;4.227973839749156;4.329693079988815;5.56007241455332;3.0429433560425103
29;0.0;7.91565613440976;4.805487955812963;1.4641891041779274;2.0103568048224356;3.394192097809926;3.331957538892973;4.595567638373499;2.4333840631763075
